Practice Analysis - Part 1 - Deep dive - all KPIs,,,,,,
GROWTH Category,KPIs,Category,Profit Driver,KPI,Score,Description
G, 53 of 53,GBP/Entity Profiles,Local Discovery,Directory Presence (weighted directory list),,Listed on important directories.
G, 53 of 53,Page Speed Performance,Conversion Rate,"Desktop Performance (each carries Core Web Vitals thresholds for LCP, CLS, INP)",,Fast on computers.
G, 53 of 53,Page Speed Performance,Conversion Rate,Mobile Performance,,Fast on phones.
G, 53 of 53,Website Technical,Conversion Rate,HTTPS Enabled,,Site loads securely (lock icon).
G, 53 of 53,Website Technical,Conversion Rate,Schema – Booking Action,,Special code that marks “Book an appointment.”
G, 53 of 53,Website Technical,Conversion Rate,Schema – Person (Doctors),,Special code showing each doctor.
G, 53 of 53,Website Technical,Conversion Rate,Schema – FAQ Page,,Special code for a page of FAQs.
G, 53 of 53,Website Technical,Conversion Rate,Schema – Dentist Specific,,Special code saying “we’re a dentist.”
G, 53 of 53,Website Technical,Conversion Rate,Schema – Local Business,,Special code saying “we’re a local business.”
G, 53 of 53,Website Technical,Conversion Rate,XML Sitemap Present,,A simple list of your pages for Google.
G, 53 of 53,Website Technical,Conversion Rate,Robots.txt Present,,A tiny file that tells Google what to visit.
G, 53 of 53,Website Technical,Conversion Rate,Canonical Tags Proper,,Right page is marked as the main one.
R,6 of 13,AI Search Readiness,Long-Term SEO + AI Readiness,Natural-Language Q&A (FAQ on site),,Plain-talk Q&A is on the site.
R,6 of 13,AI Search Readiness,Long-Term SEO + AI Readiness,Staff Credentials Visible,,Staff training and licenses are shown.
R,6 of 13,Analytics Setup,ROI Measurement,Phone Call Event Tracking,,Phone calls are counted.
R,6 of 13,Bookability,New Patient Flow,Call Tracking Implemented,,Calls are counted with tracking numbers.
R,6 of 13,GBP Optimization,Local Discovery,Q&A Engagement,,Questions get answered.
R,6 of 13,GBP Optimization,Local Discovery,Review velocity & quality,,Regularity of reviews and quality
O,1 of 15,Content Quality,Trust & Case Acceptance,Patient Testimonials,,Real patient reviews are shown.
W,3 of 10,Bookability,New Patient Flow,Scheduling Vendor Quality,,The booking tool is easy to use.
W,3 of 10,Content Quality,Trust & Case Acceptance,Media Quality,,Pictures and videos look good and load fast.
W,3 of 10,GBP Optimization,Local Discovery,Photo & Video Quality and Quantity,,Plenty of high-quality photos.
T,1 of 18,Analytics Setup,ROI Measurement,Form Submission Tracking,,Form sends are counted.
H,2 of 9,AI Search Readiness,Long-Term SEO + AI Readiness,Service Explanations – Comprehensive,,Service pages explain everything clearly.
H,2 of 9,Content Quality,Trust & Case Acceptance,Payment Plan / Financing Availability,,Flexibility for patients 
